timestamp,reaction
1583668273418,😆
1583582919376,👍
1583496151035,😮
1583479413381,😆
1583345935637,😢
1583324011774,😆
1583316120975,😍
1583315591203,😮
1583313257462,😍
1583279323236,👍
1583277973371,😍
1583269446182,😮
1583178549272,👍
1583175346043,👍
1583092503009,😆
1583067439883,👍
1583061855574,😆
1582898864788,👍
1582837804510,👍
1582832209776,😮
1582755330332,😆
1582755228208,👍
1582753065953,😮
1582749753291,😮
1582743968701,😮
1582707968796,😮
1582644022701,😍
1582637249288,😮
1582637220439,😆
1582636924394,👍
1582590091983,😍
1582575872700,😮
1582574835767,👍
1582549250182,😢
1582542784208,😢
1582541795226,😆
1582495627517,😆
1582492886949,😮
1582490172927,😍
1582360697811,😍
1582334422136,😆
1582334201018,👍
1582333572289,👍
1582306867419,😮
1582298858249,😆
1582293781178,😆
1582209440802,😢
1582209353931,😆
1582208040560,😮
1582208035163,😮
1582145622648,😮
1582145609173,😮
1582145593479,😮
1582140527939,😢
1582119900940,😮
1582058933411,😢
1581951516609,😍
1581951432123,😮
1581796970145,😍
1581796646629,👍
1581532883217,😮
1581500331406,👍
1581426166208,😍
1581425975474,😍
1581355957340,😍
1581287368353,👍
1581281905881,😆
1581272695718,😮
1581265927091,👍
1581253269539,👍
1581179122724,😮
1581108764425,😢
1581097988087,👍
1581096194168,😍
1581093440229,😆
1580994998410,😍
1580940870360,😍
1580934620421,😮
1580917950108,👍
1580905126704,😍
1580767049974,👍
1580746679628,👍
1580666028189,😆
1580469492985,😮
1580468438483,😆
1580468042049,😍
1580401745367,👍
1580396882070,😮
1580248018819,😆
1580134912571,😮
1580126707098,👍
1580067526326,😍
1579958577848,👍
1579955990131,👍
1579955715571,👍
1579955482303,😆
1579903123729,👍
1579875539301,👍
1579851298078,😍
1579777742573,😍
1579733035733,😢
1579721073393,👍
1579693902525,😍
1579693591413,😆
1579639278532,👍
1579548301370,😮
1579371977622,😢
1579339167677,😆
1579272147876,👍
1579189216413,😆
1579181983505,😆
1579135561949,😮
1579088055918,👍
1579030038862,👍
1579029954923,👍
1578955170665,👍
1578920072084,😆
1578914579222,👍
1578862641387,👍
1578786235844,😢
1578778879266,😍
1578755251502,😮
1578660083009,😢
1578615566128,👍
1578594315822,😆
1578593480753,😮
1578566110820,👍
1578509069190,😆
1578486229375,😢
1578482844007,😮
1578475206008,👍
1578426398517,👍
1578350124355,😍
1578178303977,👍
1578131366673,😆
1578077775763,😍
1577986209787,😆
1577910523060,👍
1577908925627,👍
1577881332557,👍
1577870982159,😍
1577810093376,😍
1577744053034,😆
1577741832123,😆
1577711729123,👍
1577711601944,👍
1577702645365,😍
1577701361671,😆
1577642223016,😢
1577562389268,👎
1577552160252,😍
1577478369915,😮
1577472982218,😮
1577445239174,👍
1577387600151,😮
1577361829903,😮
1577352925529,😢
1577334513043,😆
1577332631578,😮
1577279907875,😍
1577278916544,😆
1577271408339,😍
1577226510460,😮
1577213864404,👍
1577209681204,😍
1577185835987,😍
1576957308204,👍
1576935969369,😮
1576880390000,😆
1576837674265,😆
1576799237479,😆
1576754588678,😮
1576596656685,😮
1576596439167,👍
1576594488884,😮
1576525501787,😍
1576495274397,😆
1576448542124,👍
1576446160419,👎
1576359574036,👍
1576268062978,👍
1576264533737,😆
1576241000267,👍
1576215916658,👍
1576215912635,😆
1576198855209,😮
1576195033085,😮
1576155596173,😮
1576080578761,👍
1575974987497,👍
1575926139931,😍
1575824432321,😆
1575824239294,😆
1575814185456,😆
1575541943340,😆
1575468989233,👍
1575406758570,😍
1575395184819,😮
1575314556482,👍
1575313767408,😍
1575276666520,😍
1575275723196,😆
1575233141689,👎
1575154624784,👎
1575154619751,👎
1575136603763,😮
1574981041375,😮
1574964361246,😆
1574862600977,👍
1574801845938,👍
1574785970986,👍
1574606046755,😮
1574598014588,😮
1574331931675,😆
1574287871186,😠
1574280149753,😮
1574199764654,😮
1574159187430,😮
1574014109227,😢
1573999407496,😆
1573949727676,😮
1573838979107,😢
1573837154775,😮
1573813598179,😠
1573806882282,😮
1573677808168,😆
1573677795688,👍
1573579909677,👍
1573566944699,😆
1573470277989,👍
1573410351639,😆
1573327436554,😍
1573139723025,😆
1573078474956,😮
1573034746529,😢
1573034733746,👍
1572974372076,😍
1572971014621,😮
1572903226784,😆
1572819334760,😆
1572736500984,😆
1572733374932,👍
1572725262051,👍
1572651182189,😍
1572651165613,👍
1572650089390,😮
1572514357636,😮
1572450266225,😮
1572396751566,😮
1572387978479,😮
1572335010490,😆
1572187284103,😮
1572175232049,😆
1572112296212,👍
1572111703873,😍
1572045801353,😮
1572005022707,😢
1571996559053,😮
1571992113412,😮
1571954306014,😆
1571953893313,😆
1571945489749,👍
1571904104432,👍
1571901547223,👍
1571843820206,😢
1571780746843,😆
1571741636352,😆
1571731439618,😍
1571509429483,😆
1571502725529,😍
1571480846223,👍
1571474279605,😆
1571385302720,👍
1571333908159,😮
1571332664298,😆
1571172903146,👎
1571170532654,😮
1571157764976,👍
1571042133544,👍
1570992949471,😆
1570909066804,😮
1570881285464,👍
1570821321243,😆
1570802382290,😢
1570798562690,😆
1570798542154,👍
1570792001426,😆
1570791806900,👎
1570791502977,👍
1570787501222,😆
1570787271104,😆
1570786669197,😆
1570775854626,😢
1570741092431,👍
1570740327041,😆
1570740297593,😢
1570727402627,😮
1570653177083,😍
1570629769869,😮
1570569677231,👍
1570554313162,👍
1570549320334,😆
1570544454730,😆
1570544194881,👍
1570544193005,😮
1570524042827,👍
1570523934757,😍
1570523921515,😮
1570394843250,👍
1570386809913,😆
1570375597419,👍
1570361548344,😮
1570261888762,😢
1570236414033,😮
1570201779311,👍
1570197890238,👍
1570181296924,👍
1570138215464,👍
1570132730020,👍
1570127759953,👍
1570123274449,👎
1570108049332,😆
1570036911226,😢
1570036026688,👍
1569965480513,👍
1569964923178,👍
1569957722200,😍
1569949895804,👍
1569870195809,👎
1569856242390,👍
1569762776537,👎
1569681645529,😮
1569661859583,😮
1569620048344,👍
1569598019303,😠
1569596859662,👎
1569419461742,😢
1569322316053,😮
1569312182610,😮
1569277218046,👍
1569246852525,👍
1569231367924,😠
1569231361805,😠
1569230684012,😠
1569221055862,😠
1569067744173,😮
1568976944611,👍
1568889032072,😮
1568842867046,👍
1568818277740,😮
1568742895087,😍
1568711625174,😍
1568655109741,😮
1568654913846,👍
1568648379736,😆
1568636542151,👍
1568636477122,😮
1568566125538,😢
1568542990281,😍
1568361976942,😮
1568361224635,😮
1568230265994,😍
1568221091258,😮
1568196089319,😮
1568187272045,😆
1568136124157,👎
1568126080505,😍
1568110112169,👎
1568062879589,👍
1568046533671,👍
1568015101317,👍
1567982682748,😮
1567928389036,😮
1567755192598,😮
1567708934201,👎
1567598954680,😠
1567517718349,😮
1567496546389,😠
1567496539606,😍
1567495487549,👍
1567420670925,😮
1567414496308,👍
1567348827801,😮
1567270160835,👍
1567245376047,😆
1567204935324,👍
1567185955813,👍
1567169626511,😆
1567159995147,😆
1567103694402,👍
1567103625429,😠
1567097212217,👍
1567011275670,😮
1566995123844,😮
1566935074236,😮
1566885549380,👍
1566810852676,😮
